model,F1_clean,F1_obf,dF1,Rec_clean,Rec_obf,dRecall
CodeBERT vanilla,0.9928,0.9599,0.0328,0.9874,0.9246,0.0628
Proposed (SQL-aware),0.9936,0.9572,0.0363,0.9894,0.92,0.0694
